institution,label,city,institution_state,inst_level,statefips
1,Institutions in New England Division,,,D,
2,Institutions in Middle Atlantic Division,,,D,
3,Institutions in East North Central Division,,,D,
4,Institutions in West North Central Division,,,D,
5,Institutions in South Atlantic Division,,,D,
6,Institutions in East South Central Division,,,D,
7,Institutions in West South Central Division,,,D,
8,Institutions in Mountain Division,,,D,
9,Institutions in Pacific Division,,,D,
09,Institutions in Connecticut,,,S,09
23,Institutions in Maine,,,S,23
25,Institutions in Massachusetts,,,S,25
33,Institutions in New Hampshire,,,S,33
44,Institutions in Rhode Island,,,S,44
50,Institutions in Vermont,,,S,50
34,Institutions in New Jersey,,,S,34
36,Institutions in New York,,,S,36
42,Institutions in Pennsylvania,,,S,42
17,Institutions in Illinois,,,S,17
18,Institutions in Indiana,,,S,18
26,Institutions in Michigan,,,S,26
39,Institutions in Ohio,,,S,39
55,Institutions in Wisconsin,,,S,55
19,Institutions in Iowa,,,S,19
20,Institutions in Kansas,,,S,20
27,Institutions in Minnesota,,,S,27
29,Institutions in Missouri,,,S,29
31,Institutions in Nebraska,,,S,31
38,Institutions in North Dakota,,,S,38
46,Institutions in South Dakota,,,S,46
10,Institutions in Delaware,,,S,10
11,Institutions in District of Columbia,,,S,11
12,Institutions in Florida,,,S,12
13,Institutions in Georgia,,,S,13
24,Institutions in Maryland,,,S,24
37,Institutions in North Carolina,,,S,37
45,Institutions in South Carolina,,,S,45
51,Institutions in Virginia,,,S,51
54,Institutions in West Virginia,,,S,54
01,Institutions in Alabama,,,S,01
21,Institutions in Kentucky,,,S,21
28,Institutions in Mississippi,,,S,28
47,Institutions in Tennessee,,,S,47
05,Institutions in Arkansas,,,S,05
22,Institutions in Louisiana,,,S,22
40,Institutions in Oklahoma,,,S,40
48,Institutions in Texas,,,S,48
04,Institutions in Arizona,,,S,04
08,Institutions in Colorado,,,S,08
16,Institutions in Idaho,,,S,16
30,Institutions in Montana,,,S,30
32,Institutions in Nevada,,,S,32
35,Institutions in New Mexico,,,S,35
49,Institutions in Utah,,,S,49
56,Institutions in Wyoming,,,S,56
02,Institutions in Alaska,,,S,02
06,Institutions in California,,,S,06
15,Institutions in Hawaii,,,S,15
41,Institutions in Oregon,,,S,41
53,Institutions in Washington,,,S,53
00100100,Air University,Maxwell AFB,AL,I,01
00100200,Alabama Agricultural & Mechanical University,Normal,AL,I,01
00100300,Faulkner University,Montgomery,AL,I,01
00100301,Faulkner University - Birmingham Center,Hoover,AL,I,01
00100302,Faulkner University - Florence Center,Florence,AL,I,01
00100303,Faulkner University - Huntsville Center,Huntsville,AL,I,01
00100304,Faulkner University - Mobile Center,Mobile,AL,I,01
00100305,Faulkner University -,Alexander City,AL,I,01
00100306,Faulkner University -,Anniston,AL,I,01
00100307,Faulkner University -,Corinth,MS,I,28
00100308,Faulkner University -,Greenville,AL,I,01
00100309,Faulkner University -,Hamilton,AL,I,01
00100310,Faulkner University -,Monroeville,AL,I,01
00100311,Faulkner University -,Roanoke,AL,I,01
00100312,Faulkner University -,Selma,AL,I,01
00100313,Faulkner University -,Thomasville,AL,I,01
00100314,Faulkner University -,Childersburg,AL,I,01
00100315,Faulkner University -,Winfield,AL,I,01
00100316,Faulkner University -,Andalusia,AL,I,01
00100317,Faulkner University -,Auburn,AL,I,01
00100318,Faulkner University -,Birmingham,AL,I,01
00100319,Faulkner University -,Birmingham,AL,I,01
00100320,Faulkner University -,Brundidge,AL,I,01
00100321,Faulkner University -,Dothan,AL,I,01
00100322,Faulkner University -,Fayette,AL,I,01
00100323,Faulkner University -,Daleville,AL,I,01
00100324,Faulkner University -,Geneva,AL,I,01
00100325,Faulkner University -,Hamilton,AL,I,01
00100326,Faulkner University -,Huntsville,AL,I,01
00100327,Faulkner University -,Mobile,AL,I,01
00100328,Faulkner University -,Mobile,AL,I,01
00100329,Faulkner University -,Saraland,AL,I,01
00100330,Faulkner University -,Tallassee,AL,I,01
00100331,Faulkner University -,Tallassee,AL,I,01
00100332,Faulkner University -,Troy,AL,I,01
00100333,Faulkner University,Cullman,AL,I,01
00100334,Faulkner University -,Jackson,AL,I,01
00100335,Faulkner University -,Huntsville,AL,I,01
00100336,Faulkner University -,Mobile,AL,I,01
00100337,Faulkner University -,Troy,AL,I,01
00100338,Faulkner University -,Albertville,AL,I,01
00100339,Faulkner University -,Clayton,AL,I,01
00100340,Faulkner University -,Guntersville,AL,I,01
00100341,Faulkner University -,Foley,AL,I,01
00100342,Faulkner University -,Phenix City,AL,I,01
00100343,Faulkner University -,Jacksonville,AL,I,01
00100400,University of Montevallo,Montevallo,AL,I,01
00100401,University of Montevallo - AMSTI Center,Pelham,AL,I,01
00100500,Alabama State University,Montgomery,AL,I,01
00100600,Alabama State University Mobile Center,Mobile,AL,I,01
00100700,Central Alabama Community College,Alexander City,AL,I,01
00100701,Central Alabama Community College - Childersburg Campus,Childersburg,AL,I,01
00100702,Central Alabama Community College,Talladega,AL,I,01
00100703,Central Alabama Community College,Pell City,AL,I,01
00100704,Central Alabama Community College,Millbrook,AL,I,01
00100705,Central Alabama Community College,Wetumpka,AL,I,01
00100706,Central Alabama Community College,Elmore,AL,I,01
00100707,Central Alabama Community College - Coosa Valley School of Nursing,Sylacauga,AL,I,01
00100708,Central Alabama Community College - Talladega Instructional Site,Talladega,AL,I,01
00100709,Central Alabama Community College - Lincoln Instructional Site,Lincoln,AL,I,01
00100710,Central Alabama Community College - Pratt's Mill Center,Prattville,AL,I,01
00100800,Athens State University,Athens,AL,I,01
00100801,Athens State University - Redstone Arsenal Extension,Redstone Arsenal,AL,I,01
00100802,Athens State University - Wallace State CC Selma Center,Selma,AL,I,01
00100803,Athens State University - Wallace State CC Hanceville Center,Hanceville,AL,I,01
00100804,Athens State University - Northeast State CC Center,Rainsville,AL,I,01
00100805,Athens State University - Northwest - Shoals CC Center,Muscle Shoals,AL,I,01
00100806,Athens State University - Snead State CC Center,Boaz,AL,I,01
00100807,Athens State University - Alabama Center for the Arts,Decatur,AL,I,01
00100900,Auburn University,Auburn,AL,I,01
00101000,Birmingham Baptist College,Birmingham,AL,I,01
00101200,Birmingham-Southern College,Birmingham,AL,I,01
00101300,Calhoun Community College,Tanner,AL,I,01
00101301,Calhoun Community College - Huntsville,Huntsville,AL,I,01
00101302,Calhoun Community College - Redstone Arsenal,Redstone Arsenal,AL,I,01
00101303,Calhoun Community College - Alabama Center for the Arts,Decatur,AL,I,01
00101304,Calhoun Community College - HEMSI Station 2,Huntsville,AL,I,01
00101305,Calhoun Community College - Madison County Career Technical Center,Huntsville,AL,I,01
00101400,Daniel Payne College,Birmingham,AL,I,01
00101500,Enterprise State Community College,Enterprise,AL,I,01
00101501,Enterprise State Community College - Fort Rucker Site,Fort Rucker,AL,I,01
00101502,"Enterprise State Community College - Alabama Aviation College, Ozark",Ozark,AL,I,01
00101503,"Enterprise State Community College - Alabama Aviation College, Mobile",Mobile,AL,I,01
00101504,"Enterprise State Community College - Alabama Av College, Andalusia",Andalusia,AL,I,01
00101505,"Enterprise State Community College - Alabama Av College, Albertville",Albertville,AL,I,01
00101506,Enterprise State Community College - Alabama Aviation Ctr at Decatur,Tanner,AL,I,01
00101600,University of North Alabama,Florence,AL,I,01
00101700,Gadsden State Community College,Gadsden,AL,I,01
00101701,Gadsden State Community College - East Broad Site,Gadsden,AL,I,01
00101702,Gadsden State Community College - Valley Street Site,Gadsden,AL,I,01
00101703,Gadsden State Community College - McClellan Site,Anniston,AL,I,01
00101704,Gadsden State Community College - Fort McClellan Site,Fort McClellan,AL,I,01
00101705,Gadsden State Community College - Pell City Site,Pell City,AL,I,01
00101706,Gadsden State Community College - Harry M. Ayers Campus,Anniston,AL,I,01
00101707,Gadsden State Community College - Cleburne County Site,Heflin,AL,I,01
00101708,Gadsden State Community College - Piedmont Site,Piedmont,AL,I,01
00101709,Gadsden State Community College - Cherokee,Centre,AL,I,01
00101800,George C. Wallace Community College,Dothan,AL,I,01
00101801,George C. Wallace Community College - Fort Rucker Center,Fort Rucker,AL,I,01
00101802,George C. Wallace Community College - Fort Rucker,Fort Rucker,AL,I,01
00101803,George C. Wallace Community College - Aviation Campus,Ozark,AL,I,01
00101804,George C. Wallace Community College - Aviation Center at Mobile,Mobile,AL,I,01
00101805,George C. Wallace Community College - Fort Rucker Center,Fort Rucker,AL,I,01
00101806,George C. Wallace Community College - Sparks Campus,Eufaula,AL,I,01
00101900,Huntingdon College,Montgomery,AL,I,01
00101901,Huntingdon College - Enterprise,Enterprise,AL,I,01
00101902,Huntingdon College - Bay Minette,Bay Minette,AL,I,01
00101903,Huntingdon College - Brewton,Brewton,AL,I,01
00101904,Huntingdon College - Center Point,Birmingham,AL,I,01
00101905,Huntingdon College - Daphne,Daphne,AL,I,01
00101906,Huntingdon College - Pell City,Pell City,AL,I,01
00101907,Huntingdon College - Shelby,Birmingham,AL,I,01
00101908,Huntingdon College - CenterPoint,Birmingham,AL,I,01
00101909,Huntingdon College - Shelby,Birmingham,AL,I,01
00102000,Jacksonville State University,Jacksonville,AL,I,01
00102100,Jefferson Davis Community College,Brewton,AL,I,01
00102101,Jefferson Davis Community College - Atmore Campus,Atmore,AL,I,01
00102102,Jefferson Davis Community College - Fountain Correctional Center,Atmore,AL,I,01
00102103,Jefferson Davis Community College - Holman Prison,Atmore,AL,I,01
00102200,Jefferson State Community College,Birmingham,AL,I,01
00102201,Jefferson State Community College - Shelby-Hoover Campus,Birmingham,AL,I,01
00102202,Jefferson State Community College - Chilton-Clanton Center,Clanton,AL,I,01
00102203,Jefferson State Community College - St.Clair-Pell City Center,Pell City,AL,I,01
00102300,Judson College,Marion,AL,I,01
00102400,University of West Alabama,Livingston,AL,I,01
00102500,Lomax Hannon Junior College,Greenville,AL,I,01
00102600,Marion Military Institute,Marion,AL,I,01
00102800,Miles College,Fairfield,AL,I,01
00102801,"Miles College - Fairfield, Ala.",Fairfield,AL,I,01
00102900,University of Mobile,Mobile,AL,I,01
00102901,University of Mobile - Nicaragua,San Marcos,,I,
00103000,Bishop State Community College - Main Campus,Mobile,AL,I,01
00103001,Bishop State Community College - Carver Campus,Mobile,AL,I,01
00103002,Bishop State Community College - Southwest Campus,Mobile,AL,I,01
00103003,Bishop State Community College - Central Campus,Mobile,AL,I,01
00103100,Northeast Alabama Community College,Rainsville,AL,I,01
00103101,Northeast Alabama Community College - Cosmetology Center,Scottsboro,AL,I,01
00103200,Northwest Alabama Community College,Phil Campbell,AL,I,01
00103201,Branch Campus,Hamilton,AL,I,01
00103300,Oakwood University,Huntsville,AL,I,01
00103400,Alabama Southern Community College,Monroeville,AL,I,01
00103401,Alabama Southern Community College - Thomasville Campus,Thomasville,AL,I,01
00103402,Alabama Southern Community College - Demopolis Campus,Demopolis,AL,I,01
00103403,Alabama Southern Community College - Gilbertown Campus,Gilbertown,AL,I,01
00103404,Alabama Southern Community College - Jackson Campus,Jackson,AL,I,01
00103405,Alabama Southern Community College - Demopolis Campus,Demopolis,AL,I,01
00103500,Southern Benedictine College,St Bernard,AL,I,01
00103600,Samford University,Birmingham,AL,I,01
00103700,Selma University,Selma,AL,I,01
00103800,Snead State Community College,Boaz,AL,I,01
00103801,Snead State Community College - Arab Instructional Site,Arab,AL,I,01
00103802,Snead State Community College - Blount County Instructional Site,Cleveland,AL,I,01
00103803,Snead State Community College - Albertville Aviation Center,Albertville,AL,I,01
00103900,Southeastern Bible College,Birmingham,AL,I,01
00104000,Southern Union State Community College,Wadley,AL,I,01
00104001,Southern Union State Community College - Valley Campus,Valley,AL,I,01
00104002,Southern Union State Community College - Opelika Campus,Opelika,AL,I,01
00104003,Southern Union State Community College - Fort Benning Military Base,Fort Benning,GA,I,13
00104100,Spring Hill College,Mobile,AL,I,01
00104101,Spring Hill College - Birmingham,Birmingham,AL,I,01
00104102,Spring Hill College - Atlanta Program,Atlanta,GA,I,13
00104103,Spring Hill College - Jackson/Pearl,Jackson,MS,I,28
00104200,Spring Hill College Saint Charles College Division,Grand Coteau,LA,I,22
00104300,St Bernard College,St Bernard,AL,I,01
00104400,Stillman College,Tuscaloosa,AL,I,01
00104600,Talladega College,Talladega,AL,I,01
00104700,Troy University,Troy,AL,I,01
00104701,Troy State University - At Dothan,Dothan,AL,I,01
00104702,Troy State University - at Montgomery,Montgomery,AL,I,01
00104703,Troy University - Phenix City,Phenix City,AL,I,01
00104704,Troy University - Fort Benning,Fort Benning,GA,I,13
00104705,Troy University - Florida Region,Fort Walton Beach,FL,I,12
00104706,Troy University - Norfolk Naval Station,Norfolk,VA,I,51
00104707,Troy University - Arlington,Arlington,VA,I,51
00104708,Troy University - Hawaii,Hickam Air Force Base,HI,I,15
00104709,Troy State University - White Sands,White Sands Missile Range,NM,I,35
00104710,Troy University - Holloman Air Force Base,Holloman Air Force Base,NM,I,35
00104711,Troy University - Davis/Monthan,Tuscon,AZ,I,04
00104712,Troy University - Shaw Air Force Base,Shaw Air Force Base,SC,I,45
00104713,Troy State University - Europe,APO AE 09094-4535,,I,
00104714,Troy State University - Cuba,FPO AE  09593-0019,,I,
00104715,Troy University - Pacific Region,"Kadena AFB, APO AP",,I,
00104716,Troy University - Ft. Bragg,Fayetteville,NC,I,37
00104717,Troy University - Brunswick,Brunswick,GA,I,13
00104718,Troy University - Atlanta,Atlanta,GA,I,13
00104719,Troy University - Fort Lewis,Fort Lewis,WA,I,53
00104720,Troy University - Fort Carson,Fort Carson,CO,I,08
00104721,Troy University - Keesler AFB,Keesler AFB,MS,I,28
00104722,Troy University - MacDill,Tampa,FL,I,12
00104723,Troy University - Malmstrom AFB,Malmstrom AFB,MT,I,30
00104724,Troy University - New Orleans,New Orleans,LA,I,22
00104725,Troy University - Orlando,Altamonte Springs,FL,I,12
00104726,Troy University - Pensacola NAS,Pensacola,FL,I,12
00104727,Troy University - Tyndall,Tyndall AFB,FL,I,12
00104728,Troy University - Guam,Tamuning,GU,I,66
00104729,Troy University - Camp Zama,Camp Zama,,I,
00104730,Troy University - Misawa,Misawa,,I,
00104731,Troy University - Osan,Osan,,I,
00104732,Troy University - Sasbo,Sasbo,,I,
00104733,Troy University - Taegu Hub,Taegu Hub,,I,
00104734,Troy University - Yokosuka Naval Station,Yokosuka,,I,
00104735,Troy University - Yokota Naval Station,Yokota,,I,
00104736,Troy University - Yongsan,Yongsan,,I,
00104737,Troy University - Southeast Region,Columbus,GA,I,13
00104738,Troy University - Augusta,Augusta,GA,I,13
00104739,Troy University - Covington,Covington,GA,I,13
00104740,Troy University - Annapolis,Bethesda,MD,I,24
00104741,Troy University - Bethesda,Bethesda,MD,I,24
00104742,Troy University - Dam Neck,Virginia Beach,VA,I,51
00104743,Troy University - Fort Belvoir,Fort Belvoir,VA,I,51
00104744,Troy University - Fort Eustis,Fort Eustis,VA,I,51
00104745,Troy University - Fort Monroe,Fort Monoe,VA,I,51
00104746,Troy University - Langley AFB,Langley AFB,VA,I,51
00104747,Troy University - Naval Medical Center,Portsmouth,VA,I,51
00104748,Troy University - Oceana,Virginia Beach,VA,I,51
00104749,Troy University - Fort Myer,Fort Myer,VA,I,51
00104750,Troy University - Little Creek,Virginia Beach,VA,I,51
00104751,Troy University - Eglin,Eglin AFB,FL,I,12
00104752,Troy University - Hurlburt,Hurlburt Field,FL,I,12
00104753,Troy University - Albany,Albany,GA,I,13
00104754,Troy University - Dothan,Dothan,AL,I,01
00104755,Troy University - Montgomery,Montgomery,AL,I,01
00104756,Troy University - Fort Rucker,Fort Rucker,AL,I,01
00104757,Troy University - Jacksonville,Jacksonville,FL,I,12
00104758,Troy University - Pensacola,Pensacola,FL,I,12
00104759,Troy University - Tampa,Tampa,FL,I,12
00104760,Troy University - Clarksville,Clarksville,TN,I,47
00104761,Troy University - Savannah,Savannah,GA,I,13
00104762,Troy University - Vidalia,Vidalia,GA,I,13
00104763,Troy University - Tifton,Tifton,GA,I,13
00104764,Troy University - Charleston,Charleston,SC,I,45
00104765,Troy University - Sumter,Sumter,SC,I,45
00104766,Troy University - Colorado Springs,Colorado Springs,CO,I,08
00104767,Troy University - Atlantic Regional,Norfolk,VA,I,51
00104768,Troy University - Harrisburg,Harrisburg,PA,I,42
00104769,"Troy University - Kent, WA",Kent,WA,I,53
00104770,Troy University - San Antonio,San Antonio,TX,I,48
00104771,"Troy University - Heidelberg, Germany",Heidelberg,,I,
00104772,"Troy University - Bangkok, Thailand","Surawong, Bangkok",,I,
00104773,"Troy University - Kuala Lumpur, Malaysia",Melaka,,I,
00104774,Troy University - Marianna,Marianna,FL,I,12
00104775,Troy University - Osan AFB,Osan AFB,,I,
00104776,Troy University - Ho Chi Minh City,Ho Chi Minh City,,I,
00104777,Troy University - Hanoi,Hanoi,,I,
00104778,Troy University - Camp Humphreys,"Pyongtek, APO AP",,I,
00104800,Troy State University Dothan,Dothan,AL,I,01
00104801,Troy State University - Fort Rucker Site,Fort Rucker,AL,I,01
00104802,Troy State University Dothan - Fort Rucker,Fort Rucker,AL,I,01
00104900,Troy State University Montgomery,Montgomery,AL,I,01
00105000,Tuskegee University,Tuskegee Institute,AL,I,01
00105100,University of Alabama,Tuscaloosa,AL,I,01
00105101,University of Alabama - Gadsden Center,Gadsden,AL,I,01
00105102,University of Alabama - Maxwell Air Force Base Educational program,Montgomery,AL,I,01
00105200,University of Alabama at Birmingham,Birmingham,AL,I,01
00105201,University of Alabama at Birmingham - Walker College,Jasper,AL,I,01
00105202,University of Alabama at Birmingham - West Elementary,Cullman,AL,I,01
00105203,University of Alabama at Birmingham - Simmons Middle,Hoover,AL,I,01
00105204,University of Alabama at Birmingham - Crossroads School,Hoover,AL,I,01
00105205,University of Alabama at Birmingham - Cullman Area Career Center,Cullman,AL,I,01
00105400,University of Alabama,Tuscaloosa,AL,I,01
00105500,University of Alabama in Huntsville,Huntsville,AL,I,01
00105600,University of Alabama at Montgomery,Montgomery,AL,I,01
00105700,University of South Alabama,Mobile,AL,I,01
00105800,Walker College,Jasper,AL,I,01
00105900,Lawson State Community College,Birmingham,AL,I,01
00105901,Lawson State Community College - Bessemer Campus,Bessemer,AL,I,01
00106000,Coastal Alabama Community College,Bay Minette,AL,I,01
00106001,Coastal Alabama Community College - Fairhope Campus,Fairhope,AL,I,01
00106002,Coastal Alabama Communty College - Gulf Shores Campus,Gulf Shores,AL,I,01
00106003,Coastal Alabama Community College - Academy at Fairhope Airpt,Fairhope,AL,I,01
00106004,Coastal Alabama Community College - N Baldwin Center for Tech,Bay Minette,AL,I,01
00106005,Coastal Alabama Community College - S Baldwin Center for Tech,Robertsdale,AL,I,01
00106006,Coastal Alabama Community College - Monroeville Campus,Monroeville,AL,I,01
00106007,Coastal Alabama Community College - Thomasville Campus,Thomasville,AL,I,01
00106008,Coastal Alabama Community College - Gilbertown Campus,Gilbertown,AL,I,01
00106009,Coastal Alabama Community College - Jackson Campus,Jackson,AL,I,01
00106010,Coastal Alabama Community College - Brewton Campus,Brewton,AL,I,01
00106011,Coastal Alabama Community College - Atmore Campus,Atmore,AL,I,01
00106012,Coastal Alabama Community College - Fountain Correctional Center,Atmore,AL,I,01
00106013,Coastal Alabama Community College - Holman Prison,Atmore,AL,I,01
00106014,Coastal Alabama Community College - Alabama Aviation Center,Mobile,AL,I,01
